aon,daily_decr30,daily_decr90,rental30,rental90,cnt_loans30,amnt_loans30,maxamnt_loans30,cnt_loans90,amnt_loans90,maxamnt_loans90,payback30,payback90,Year,Month,Day
233.0,11394.0,12219.42,6675.38,9197.12,3,30,12.0,3.0,30,12,5.666666667,5.666666667,2016,7,8
64.0,10.0,10.0,952.9,952.9,1,6,6.0,1.0,6,6,0.0,0.0,2016,10,6
288.0,10.18333333,10.18333333,38.61,38.61,2,12,6.0,2.0,12,6,0.0,0.0,2016,6,13
530.0,28932.328,28986.82,15959.93,17751.83,2,12,6.0,2.0,12,6,95.5,95.5,2016,7,18
591.0,10123.0,10889.96,5034.16,5123.26,2,24,12.0,3.0,30,12,0.0,2.0,2016,8,16
136.0,103.632,103.632,956.16,956.16,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,16
843.0,25289.58333,25335.5,6285.42,6998.68,4,30,12.0,4.0,30,12,3.666666667,3.666666667,2016,7,19
419.0,40.0,40.0,536.9,536.9,1,6,6.0,1.0,6,6,0.0,0.0,2016,10,6
989.0,1513.533333,1514.0,1304.39,1307.39,1,6,6.0,1.0,6,6,0.0,0.0,2016,1,7
710.0,23.52133333,23.52133333,1152.76,1152.76,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,23
224.0,25184.46133,25284.73,7309.69,9483.73,6,36,6.0,8.0,48,6,1.166666667,1.625,2016,7,22
1027.0,37485.13333,37694.5,4991.08,4368.7,4,24,6.0,6.0,36,6,1.666666667,2.2,2016,7,22
101.0,10812.924,10885.08,945.65,1050.65,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,21
929670.836,4130.729333,4151.88,6139.79,6529.55,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,29
118.0,4.0,4.0,1369.5,1369.5,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,25
305.0,12279.0,17509.77,14230.54,19363.72,5,30,6.0,16.0,96,6,4.2,3.5,2016,9,8
427.0,20038.13333,20143.0,2174.78,2291.38,4,30,12.0,9.0,60,12,3.666666667,4.222222222,2016,7,22
2188.0,1090.0,3539.07,1739.12,3381.62,1,6,6.0,18.0,108,6,0.0,2.888888889,2016,10,8
827.0,5461.0,6014.77,300.26,717.56,1,6,6.0,2.0,12,6,0.0,12.5,2016,7,8
763.0,4333.6,4337.0,10273.99,11183.11,4,24,6.0,4.0,24,6,12.25,12.25,2016,6,7
383.0,3992.666667,4010.0,1707.82,1808.4,7,42,6.0,7.0,42,6,2.5,2.5,2016,2,7
145.0,3300.0,3904.6,200.13,299.69,1,6,6.0,1.0,6,6,0.0,0.0,2016,9,8
187.0,2450.0,2450.0,199.12,199.12,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,19
1935.0,2505.519667,2516.33,284.43,312.22,3,18,6.0,3.0,18,6,12.66666667,12.66666667,2016,7,7
481.0,17.316,17.316,401.18,401.18,2,12,6.0,2.0,12,6,31.0,31.0,2016,6,26
1108.0,644.6613333,645.96,1830.77,1893.9,1,6,6.0,1.0,6,6,0.0,0.0,2016,1,7
947.0,85.05833333,85.05833333,654.5,654.5,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,25
112.0,26016.0,26962.78,4436.73,5833.83,1,6,6.0,1.0,6,6,0.0,0.0,2016,1,8
141.0,4800.0,4800.0,2410.84,2410.84,4,24,6.0,4.0,24,6,5.666666667,5.666666667,2016,7,27
655594.0999,49.482,49.482,-66.87,-66.87,1,6,6.0,1.0,6,6,0.0,0.0,2016,9,6
185.0,8063.526667,8114.4,1185.08,1225.9,4,24,6.0,7.0,42,6,3.75,3.333333333,2016,7,13
478.0,3904.4,3926.8,5630.25,7322.25,2,18,12.0,7.0,48,12,9.0,4.833333333,2016,7,15
608.0,717.6453333,721.12,11659.84,12200.76,3,18,6.0,3.0,18,6,6.333333333,6.333333333,2016,2,7
1361.0,87.91466667,87.91466667,341.38,341.38,3,18,6.0,3.0,18,6,3.333333333,3.333333333,2016,6,26
651.0,104.85,104.85,382.5,382.5,4,24,6.0,4.0,24,6,1.666666667,1.666666667,2016,6,30
1430.0,26.48066667,26.48066667,154.0,154.0,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,22
979.0,18.04133333,18.04133333,307.23,307.23,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,6
97.0,51.95833333,51.95833333,169.94,169.94,2,12,6.0,2.0,12,6,0.0,0.0,2016,6,29
378.0,2918.0,2927.0,359.69,389.69,2,12,6.0,2.0,12,6,0.0,0.0,2016,10,7
1715.0,14.42666667,14.42666667,548.8,548.8,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,16
201.0,10362.88333,10471.5,1019.54,1399.35,1,6,6.0,6.0,36,6,0.0,3.2,2016,7,19
1366.0,6815.072,6868.51,4311.61,5385.83,10,60,6.0,16.0,96,6,1.8,2.0,2016,7,14
858.0,2706.273333,2724.41,320.13,380.13,2,12,6.0,2.0,12,6,0.0,0.0,2016,10,7
595.0,115.8776667,115.8776667,1652.56,1652.56,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,13
445.0,20532.976,20597.44,2974.44,4437.12,8,48,6.0,10.0,60,6,2.142857143,3.222222222,2016,7,18
1133.0,3095.0,3095.0,0.0,0.0,1,12,12.0,1.0,12,12,0.0,0.0,2016,8,19
256.0,6021.968,6129.13,1231.8,2417.82,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,22
64.0,98.11266667,98.11266667,464.2,464.2,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,22
94.0,8.266666667,8.266666667,65.68,65.68,1,6,6.0,1.0,6,6,0.0,0.0,2016,8,6
972.0,1409.4,1415.0,0.0,0.0,1,6,6.0,1.0,6,6,0.0,0.0,2016,3,7
114.0,522.08,528.8,166.06,216.6,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,7
203.0,15.724,15.724,-13.29,-13.29,2,12,6.0,2.0,12,6,0.0,0.0,2016,3,6
167.0,4738.202,4793.67,479.34,798.9,1,12,12.0,1.0,12,12,0.0,0.0,2016,12,7
481.0,62.54733333,62.54733333,7036.12,7036.12,3,18,6.0,3.0,18,6,1.5,1.5,2016,6,26
234.0,33.8,33.8,444.3,444.3,1,6,6.0,1.0,6,6,0.0,0.0,2016,10,6
355.0,12502.0,12907.87,5890.77,6130.77,3,24,12.0,5.0,36,12,5.0,6.833333333,2016,3,8
1589.0,22.521,22.521,522.93,522.93,2,12,6.0,2.0,12,6,0.0,0.0,2016,3,6
188.0,12.726,12.726,778.26,778.26,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,21
1085.0,14793.0,17412.88,28168.89,36926.81,3,18,6.0,6.0,36,6,2.666666667,1.833333333,2016,7,8
625.0,125.8133333,125.8133333,723.52,723.52,7,42,6.0,7.0,42,6,1.625,1.625,2016,6,14
125.0,3852.821667,3861.93,2516.3,2671.8,1,6,6.0,2.0,12,6,0.0,0.0,2016,7,25
213.0,35.17,35.17,477.3,477.3,2,12,6.0,2.0,12,6,0.0,0.0,2016,6,30
802210.435,11698.0,16508.8,1391.3,5172.99,0,0,0.0,0.0,0,0,0.0,0.0,2016,7,8
128.0,2.666666667,2.666666667,322.8,322.8,1,6,6.0,1.0,6,6,0.0,0.0,2016,10,6
940.0,35.826,35.826,138.32,138.32,2,12,6.0,2.0,12,6,0.0,0.0,2016,6,14
201.0,10157.816,10186.36,979.05,1099.41,10,60,6.0,12.0,72,6,1.8,1.833333333,2016,12,7
68.0,20.66666667,20.66666667,2460.4,2460.4,2,12,6.0,2.0,12,6,0.0,0.0,2016,6,20
469.0,9484.776667,9563.66,17490.15,20745.65,3,18,6.0,4.0,24,6,4.0,7.0,2016,7,25
610.0,10.13333333,10.13333333,57.0,57.0,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,19
722.0,15088.88133,15172.44,3422.7,4067.08,1,12,12.0,1.0,12,12,0.0,0.0,2016,7,29
308.0,2992.25,3047.5,1183.13,1771.16,3,18,6.0,3.0,18,6,5.5,5.5,2016,7,17
388.0,18800.0,25085.28,7373.83,9146.83,2,24,12.0,5.0,42,12,4.5,18.75,2016,9,8
320.0,3356.365,3393.73,275.13,350.13,3,18,6.0,3.0,18,6,6.5,10.33333333,2016,7,15
1616.0,32.1,32.1,123.84,123.84,6,36,6.0,6.0,36,6,3.0,3.0,2016,6,18
115.0,-0.016666667,-0.016666667,1074.25,1074.25,1,6,6.0,1.0,6,6,0.0,0.0,2016,5,6
705.0,17.22833333,17.22833333,464.65,464.65,1,6,6.0,1.0,6,6,0.0,0.0,2016,5,6
747.0,4904.73,4934.45,6213.68,6727.76,1,6,6.0,1.0,6,6,0.0,0.0,2016,8,7
111.0,31431.81667,31445.45,4560.24,5599.24,7,60,12.0,7.0,60,12,1.571428571,1.571428571,2016,7,20
1403.0,19419.0,20820.78,1793.3,2959.7,6,54,12.0,6.0,54,12,2.333333333,6.571428571,2016,3,8
399.0,2600.0,2600.0,733.46,1864.02,1,6,6.0,2.0,12,6,10.33333333,10.33333333,2016,7,8
1447.0,5483.0,14963.64,1200.26,3692.91,2,18,12.0,5.0,42,12,0.0,6.0,2016,8,13
357.0,3262.397333,3272.36,632.87,790.23,3,18,6.0,3.0,18,6,14.0,14.0,2016,8,7
478.0,20286.68233,20436.97,7649.0,8629.49,8,72,12.0,10.0,84,12,3.125,4.555555556,2016,7,29
129.0,6.4,6.4,24.0,24.0,2,12,6.0,2.0,12,6,0.0,0.0,2016,6,6
815.0,15.157,15.157,1805.73,1805.73,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,23
