sl.no,label,msisdn,aon,daily_decr30,daily_decr90,rental30,rental90,last_rech_date_ma,last_rech_date_da,last_rech_amt_ma,cnt_ma_rech30,fr_ma_rech30,sumamnt_ma_rech30,medianamnt_ma_rech30,medianmarechprebal30,cnt_ma_rech90,fr_ma_rech90,sumamnt_ma_rech90,medianamnt_ma_rech90,medianmarechprebal90,cnt_da_rech30,fr_da_rech30,cnt_da_rech90,fr_da_rech90,cnt_loans30,amnt_loans30,maxamnt_loans30,medianamnt_loans30,cnt_loans90,amnt_loans90,maxamnt_loans90,medianamnt_loans90,payback30,payback90,pcircle,pdate
1,0,21408I70789,272,3055.05,3065.15,220.13,260.13,2,0,1539,2,21,3078,1539,7.5,2,21,3078,1539,7.5,0,0,0,0,2,12,6,0,2,12,6,0,29,29,UPW,20-07-2016
2,1,76462I70374,712,12122,12124.75,3691.26,3691.26,20,0,5787,1,0,5787,5787,61.04,1,0,5787,5787,61.04,0,0,0,0,1,12,12,0,1,12,12,0,0,0,UPW,10-08-2016
3,1,17943I70372,535,1398,1398,900.13,900.13,3,0,1539,1,0,1539,1539,66.32,1,0,1539,1539,66.32,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,19-08-2016
4,1,55773I70781,241,21.228,21.228,159.42,159.42,41,0,947,0,0,0,0,0,1,0,947,947,2.5,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,06-06-2016
5,1,03813I82730,947,150.6193333,150.6193333,1098.9,1098.9,4,0,2309,7,2,20029,2309,29,8,2,23496,2888,35,0,0,0,0,7,42,6,0,7,42,6,0,2.333333333,2.333333333,UPW,22-06-2016
6,1,35819I70783,568,2257.362667,2261.46,368.13,380.13,2,0,1539,4,10,6156,1539,15.4,8,0,11744,1539,55.9,0,0,0,0,3,18,6,0,3,18,6,0,11,8.333333333,UPW,02-07-2016
7,1,96759I84459,545,2876.641667,2883.97,335.75,402.9,13,0,5787,1,0,5787,5787,277.8,1,0,5787,5787,277.8,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,05-07-2016
8,1,09832I90846,768,12905,17804.15,900.35,2549.11,4,55,3178,3,3,10404,3178,36,9,3,26095,3178,36,0,0,1,0,3,18,6,0,7,42,6,0,6,3.857142857,UPW,05-08-2016
9,1,59772I84450,1191,90.695,90.695,2287.5,2287.5,1,0,1539,4,1,6164,1539,39.9,4,1,6164,1539,39.9,0,0,0,0,4,24,6,0,4,24,6,0,2.666666667,2.666666667,UPW,15-06-2016
10,1,56331I70783,536,29.35733333,29.35733333,612.96,612.96,11,0,773,1,0,773,773,86.8,1,0,773,773,86.8,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,08-06-2016
11,1,32893I82732,1511,12.896,12.896,790.44,790.44,8,0,1539,2,5,2312,1156,16.83,2,5,2312,1156,16.83,0,0,0,0,2,12,6,0,2,12,6,0,4,4,UPW,12-06-2016
12,0,82417I90848,82,65.16666667,65.16666667,326.2,326.2,17,0,7526,2,0,9065,4532.5,489,2,0,9065,4532.5,489,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,20-06-2016
13,1,11435I89236,154,227.041,227.041,240.41,240.41,2,0,1547,4,2,19086,4773.5,63,7,30,28979,1720,92,0,0,0,0,4,24,6,0,4,24,6,0,1.333333333,1.333333333,UPW,29-06-2016
14,1,66580I97601,887,55.90933333,55.90933333,208.8,208.8,2,0,1539,5,5,7703,1539,20.9,7,5,8649,1539,22.9,0,0,0,0,5,30,6,0,5,30,6,0,2.6,2.6,UPW,16-06-2016
15,1,63139I70377,707,8919,10317.35,399.25,2453.78,3,0,770,3,6,3079,770,66,8,10,19185,1539,52.5,0,0,0,0,3,18,6,0,7,42,6,0,5,4.166666667,UPW,03-08-2016
16,0,24075I89239,1037,12,12,1216.8,1216.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,24-06-2016
17,1,37204I84452,929,10.688,10.688,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,16-06-2016
18,1,44217I90455,832,14.4,14.4,1660.96,1660.96,1,0,2309,3,26,4618,1539,88.8,3,26,4618,1539,88.8,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,08-06-2016
19,1,19611I90842,450,48.935,48.935,726.3,726.3,1,0,1539,2,8,9539,4769.5,12,2,8,9539,4769.5,12,0,0,0,0,2,12,6,0,2,12,6,0,5,5,UPW,15-06-2016
20,0,75522I70784,378,514.6933333,515.2,56.26,58.2,2,0,773,1,0,773,773,542,2,64,1546,773,283.5,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,01-07-2016
21,1,61590I95202,463,1540,1541,969.12,969.12,4,0,770,1,0,770,770,43,2,66,1543,771.5,26.5,0,0,0,0,1,6,6,0,2,12,6,0,0,42,UPW,08-08-2016
22,1,95027I90841,857,58.02333333,58.02333333,479.44,479.44,2,0,1539,4,12,6164,1539,115.5,4,12,6164,1539,115.5,0,0,0,0,4,24,6,0,4,24,6,0,6,6,UPW,26-06-2016
23,0,59645I82735,966,291.5633333,291.5633333,-2020.09,-2020.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,23-06-2016
24,1,59102I70370,656,63.25,63.25,2855.7,2855.7,1,0,770,15,1,12674,770,254.6,19,1,14566,770,134.6,0,0,0,0,5,30,6,0,5,30,6,0,1.8,1.8,UPW,15-06-2016
25,1,44692I90581,1179,3703.272,3712.84,340.96,376.42,2,0,770,6,5,5395,771.5,38.5,9,5,7114,773,53.5,0,0,0,0,4,24,6,0,5,30,6,0,6,6,UPW,06-07-2016
26,0,49345I90842,871,505.6,508,9276.68,10569.17,16,0,770,1,0,770,770,77.9,1,0,770,770,77.9,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,09-07-2016
27,1,64703I85330,1610,6688.559333,6705.26,3553.83,3653.05,1,0,4048,9,1,32149,2309,41.72,10,1,36489,3178.5,85.72,0,0,0,0,8,48,6,0,8,48,6,0,1.375,1.666666667,UPW,02-07-2016
28,1,12658I88689,67,16.16666667,16.16666667,962.6,962.6,3,0,1539,2,12,3086,1543,226.5,2,12,3086,1543,226.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,10-06-2016
29,1,70130I90843,-42,8.864333333,8.864333333,780.71,780.71,780195.4971,0,773,2,10,946,473,1.8,3,32,2666,773,0.3,0,0,0,0,1,6,6,1,1,6,6,1,0,0,UPW,07-06-2016
30,1,37891I90581,2171,160.371,160.371,4110.48,4110.48,2,0,770,3,11,3082,773,26.9,4,15,3855,773,16.4,0,0,0,0,3,18,6,0,3,18,6,0,10,10,UPW,27-06-2016
31,1,78260I85349,191,5.266666667,5.266666667,1741.5,1741.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,10-06-2016
32,1,75630I88698,817,3680,4435.5,299.69,879.95,1,0,1539,1,0,1539,1539,9,7,7,10781,1539,41,0,0,0,0,1,6,6,0,2,12,6,0,0,1,UPW,11-08-2016
33,1,51478I70375,234,82.95,82.95,474,474,11,0,1539,4,6,6156,1539,19.6,6,1,9636,1539,113.1,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,30-06-2016
34,1,42449I82734,433,10.963,10.963,1967.83,1967.83,3,0,773,2,18,2320,1160,20.5,2,18,2320,1160,20.5,0,0,0,0,2,12,6,0.5,2,12,6,0.5,11,11,UPW,19-06-2016
35,1,41249I82731,1578,38740.076,38935.57,4662.68,5416.68,1,0,4048,10,2,29475,2309,45.24,20,4,50839,2309,62.74,0,0,0,0,6,54,12,0,15,108,12,0,2,1.875,UPW,26-07-2016
36,1,01210I90840,725,9740,16337.04,299.96,1457.22,15,63,5787,1,0,5787,5787,146.5,6,8,21009,4048,131,0,0,1,0,3,24,12,1,4,30,12,0.5,7.5,19.75,UPW,14-08-2016
37,1,11418I90845,785,35.99866667,35.99866667,359.1,359.1,4,0,1539,2,4,3078,1539,29.53,2,4,3078,1539,29.53,0,0,0,0,2,12,6,0,2,12,6,0,5,5,UPW,14-06-2016
38,1,26411I70786,450,1148.213333,1148.8,1474,1498.54,4,0,773,1,0,773,773,13.4,1,0,773,773,13.4,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,02-07-2016
39,1,28150I82731,875,47.873,47.873,188.16,188.16,1,0,770,7,4,4802,770,20,9,4,5148,770,20,0,0,0,0,6,36,6,0,6,36,6,0,3.666666667,3.666666667,UPW,21-06-2016
40,1,85580I70784,545,113.75,113.75,-110.75,-110.75,6,0,4048,2,9,12048,6024,45,2,9,12048,6024,45,0,0,0,0,2,12,6,0,2,12,6,0,12,12,UPW,25-06-2016
41,1,62149I84450,596,63.93333333,63.93333333,248.08,248.08,7,0,2309,3,5,4629,1547,32.6,4,5,5576,1247,21.1,0,0,0,0,4,24,6,0,4,24,6,0,2.666666667,2.666666667,UPW,28-06-2016
42,1,27123I95200,395,120.9156667,120.9156667,690.69,690.69,2,0,1539,9,1,17503,2309,149.6,9,1,17503,2309,149.6,0,0,0,0,8,48,6,0,8,48,6,0,1.571428571,1.571428571,UPW,11-06-2016
43,1,82895I85329,277,15617,17973.55,3638.78,7819.71,6,0,2309,3,5,7796,2309,29,6,2,12413,1924,56,0,0,0,0,2,18,12,0,4,30,12,0,0,7,UPW,10-08-2016
44,1,04140I90843,486,7803.9,7839,7567.34,8452.94,3,0,770,4,9,4618,1154.5,45.17,9,8,10020,773,64.67,0,0,0,0,3,18,6,0,4,24,6,0,4,5.25,UPW,27-07-2016
45,0,23884I90845,837,4676.666667,4676.666667,4545.22,4545.22,5,0,1539,6,0,6158,770,54.17,6,0,6158,770,54.17,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,23-07-2016
46,1,32783I90843,815,15.157,15.157,1805.73,1805.73,3,0,1539,1,0,1539,1539,110,2,57,5606,2803,80,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,23-06-2016
47,1,03746I91197,406,8160,9604.75,599.66,689.66,19,0,4048,2,1,8096,4048,48,3,50,12144,4048,64,0,0,0,0,1,12,12,0,1,12,12,0,0,0,UPW,16-08-2016
48,1,55570I82737,445,504.784,504.784,1869.56,1869.56,3,0,8000,6,3,50000,8000,297.665,9,3,69993,8000,188,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,28-06-2016
49,1,99293I70785,402,1750,1807.37,99.56,189.56,5,0,770,1,0,770,770,57,2,67,6557,3278.5,32,0,0,0,0,1,12,12,0,2,18,12,0,0,40.5,UPW,15-08-2016
50,1,02367I91190,294,128.766,128.766,1076.9,1076.9,1,0,1539,11,1,13861,1539,44.6,11,1,13861,1539,44.6,0,0,0,0,10,60,6,0,10,60,6,0,2.727272727,2.727272727,UPW,22-06-2016
51,1,02534I84456,99,10.44666667,10.44666667,286.64,286.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,02-06-2016
52,1,09561I70374,635,5.5,5.5,75.9,75.9,559958.7534,0,173,0,0,0,0,0,1,0,173,173,94.47,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,05-06-2016
53,1,93567I90843,319,23346.53333,23368,8960.17,13696.37,1,0,1539,13,1,20777,1539,29,15,1,23089,1539,29,0,0,0,0,12,72,6,0,13,78,6,0,3.25,7.461538462,UPW,28-07-2016
54,1,63277I70786,125,56.648,56.648,1088.64,1088.64,2,0,773,9,1,7893,773,17,9,1,7893,773,17,0,0,0,0,3,18,6,0,3,18,6,0,9,9,UPW,24-06-2016
55,1,28146I70780,133,8.4,8.4,231.6,231.6,3,0,773,2,1,1546,773,72.9,2,1,1546,773,72.9,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,02-06-2016
56,1,81496I84451,1629,2203.866667,2206,5144.43,5530.51,4,0,1539,1,0,1539,1539,4,2,32,3086,1543,30.5,0,0,0,0,3,18,6,0,3,18,6,0,13.5,13.5,UPW,04-07-2016
